id,subject_code,subject_name,module_no,module_title,topic,sub_topic,book_title,author,edition,publisher,year,book_type,chapter,page_start,page_end,coverage,notes
AD_M1_T1_S1,AD4351,FOUNDATIONS OF DATA SCIENCE,1,INTRODUCTION,Data Science,Benefits and uses,"Introducing Data Science: Big Data, Machine Learning, and More, Using Python Tools","Davy Cielen, Arno D. B. Meysman, Mohamed Ali",1st,Manning Publications,2016,reference,1,2,3,primary,Detailed explanation of benefits and uses of data science and big data
AD_M1_T2_S1,AD4351,FOUNDATIONS OF DATA SCIENCE,1,INTRODUCTION,facets of data - Data Science Process,Overview,"Introducing Data Science: Big Data, Machine Learning, and More, Using Python Tools","Davy Cielen, Arno D. B. Meysman, Mohamed Ali",1st,Manning Publications,2016,reference,2,43,44,primary,Overview of the data science process
AD_M1_T3,AD4351,FOUNDATIONS OF DATA SCIENCE,1,INTRODUCTION,Defining research goals,,"Introducing Data Science: Big Data, Machine Learning, and More, Using Python Tools","Davy Cielen, Arno D. B. Meysman, Mohamed Ali",1st,Manning Publications,2016,reference,2,25,26,primary,Includes creating a project charter and understanding research context
AD_M1_T4,AD4351,FOUNDATIONS OF DATA SCIENCE,1,INTRODUCTION,Retrieving data,,"Introducing Data Science: Big Data, Machine Learning, and More, Using Python Tools","Davy Cielen, Arno D. B. Meysman, Mohamed Ali",1st,Manning Publications,2016,reference,1,8,9,primary,Detailed explanation of retrieving data in the data science process
AD_M1_T5,AD4351,FOUNDATIONS OF DATA SCIENCE,1,INTRODUCTION,Data preparation - Exploratory Data analysis,,"Introducing Data Science: Big Data, Machine Learning, and More, Using Python Tools","Davy Cielen, Arno D. B. Meysman, Mohamed Ali",1st,Manning Publications,2016,reference,2,64,68,primary,In-depth explanation of exploratory data analysis techniques
AD_M1_T6,AD4351,FOUNDATIONS OF DATA SCIENCE,1,INTRODUCTION,build the model,,"Introducing Data Science: Big Data, Machine Learning, and More, Using Python Tools","Davy Cielen, Arno D. B. Meysman, Mohamed Ali",1st,Manning Publications,2016,reference,2,69,74,primary,"Detailed explanation of model building process, including considerations and techniques"
AD_M1_T7,AD4351,FOUNDATIONS OF DATA SCIENCE,1,INTRODUCTION,presenting findings and building applications - Data Mining - Data Warehousing,,"Introducing Data Science: Big Data, Machine Learning, and More, Using Python Tools","Davy Cielen, Arno D. B. Meysman, Mohamed Ali",1st,Manning Publications,2016,reference,2,76,76,primary,Detailed explanation of presenting findings and building applications
AD_M3_T3_S1,AD4351,FOUNDATIONS OF DATA SCIENCE,3,DESCRIBING RELATIONSHIPS,computational formula for correlation coefficient,Regression,"Introducing Data Science: Big Data, Machine Learning, and More, Using Python Tools","Davy Cielen, Arno D. B. Meysman, Mohamed Ali",1st,Manning Publications,2016,reference,2,71,72,primary,"Linear regression example assuming linear relation between predictors and target, with R-squared model fit interpretation"
AD_M3_T4,AD4351,FOUNDATIONS OF DATA SCIENCE,3,DESCRIBING RELATIONSHIPS,regression line,,"Introducing Data Science: Big Data, Machine Learning, and More, Using Python Tools","Davy Cielen, Arno D. B. Meysman, Mohamed Ali",1st,Manning Publications,2016,reference,2,71,71,primary,Explanation of linear regression and regression line
AD_M3_T5,AD4351,FOUNDATIONS OF DATA SCIENCE,3,DESCRIBING RELATIONSHIPS,least squares regression line,,"Introducing Data Science: Big Data, Machine Learning, and More, Using Python Tools","Davy Cielen, Arno D. B. Meysman, Mohamed Ali",1st,Manning Publications,2016,reference,,94,94,brief mention,Mentioned in index as 'ordinary least squares'
AD_M4_T1_S1,AD4351,FOUNDATIONS OF DATA SCIENCE,4,PYTHON LIBRARIES FOR DATA WRANGLING,Basics of Numpy arrays,aggregations,"Introducing Data Science: Big Data, Machine Learning, and More, Using Python Tools","Davy Cielen, Arno D. B. Meysman, Mohamed Ali",1st,Manning Publications,2016,reference,6,197,197,supplementary,Brief comparison of aggregations to SQL GROUP in Elasticsearch; buckets and statistics mentioned
AD_M4_T4,AD4351,FOUNDATIONS OF DATA SCIENCE,4,PYTHON LIBRARIES FOR DATA WRANGLING,structured arrays,,"Introducing Data Science: Big Data, Machine Learning, and More, Using Python Tools","Davy Cielen, Arno D. B. Meysman, Mohamed Ali",1st,Manning Publications,2016,reference,,,,not found,
AD_M4_T7_S1,AD4351,FOUNDATIONS OF DATA SCIENCE,4,PYTHON LIBRARIES FOR DATA WRANGLING,operating on data,missing data,"Introducing Data Science: Big Data, Machine Learning, and More, Using Python Tools","Davy Cielen, Arno D. B. Meysman, Mohamed Ali",1st,Manning Publications,2016,reference,2,44,44,brief mention,Mentioned in context of sales data
AD_M4_T9,AD4351,FOUNDATIONS OF DATA SCIENCE,4,PYTHON LIBRARIES FOR DATA WRANGLING,combining datasets,,"Introducing Data Science: Big Data, Machine Learning, and More, Using Python Tools","Davy Cielen, Arno D. B. Meysman, Mohamed Ali",1st,Manning Publications,2016,reference,2,58,58,supplementary,States need to combine incoming data but no techniques shown
AD_M4_T10_S1,AD4351,FOUNDATIONS OF DATA SCIENCE,4,PYTHON LIBRARIES FOR DATA WRANGLING,aggregation and grouping,pivot tables,"Introducing Data Science: Big Data, Machine Learning, and More, Using Python Tools","Davy Cielen, Arno D. B. Meysman, Mohamed Ali",1st,Manning Publications,2016,reference,5,166,168,primary,Pivot table addition steps and usage in loan risk case study dashboard
AD_M5_T1_S1,AD4351,FOUNDATIONS OF DATA SCIENCE,5,DATA VISUALIZATION,Importing Matplotlib,Line plots,"Introducing Data Science: Big Data, Machine Learning, and More, Using Python Tools","Davy Cielen, Arno D. B. Meysman, Mohamed Ali",1st,Manning Publications,2016,reference,2,55,55,primary,Standard coverage of line plots
AD_M5_T3_S1,AD4351,FOUNDATIONS OF DATA SCIENCE,5,DATA VISUALIZATION,density and contour plots,Histograms,"Introducing Data Science: Big Data, Machine Learning, and More, Using Python Tools","Davy Cielen, Arno D. B. Meysman, Mohamed Ali",1st,Manning Publications,2016,reference,2,67,67,primary,
AD_M5_T3_S3,AD4351,FOUNDATIONS OF DATA SCIENCE,5,DATA VISUALIZATION,density and contour plots,colors,"Introducing Data Science: Big Data, Machine Learning, and More, Using Python Tools","Davy Cielen, Arno D. B. Meysman, Mohamed Ali",1st,Manning Publications,2016,reference,5,144,144,primary,Detailed explanation of MapReduce algorithm with example of color mapping
